商品名,カテゴリ,価格,単位,更新日,メモ
国内産上豚切り落し,肉,344,,,,
シャウエッセン大袋ピロ,肉・加工肉,850,,,,日本ハム
鶏むね肉,肉,,100g,,
鶏もも肉,肉,,100g,,
豚こま切れ,肉,,100g,,
豚ひき肉,肉,,100g,,
合いびき肉,肉,,100g,,
ミックスサイズたまご（味乙女）,卵・乳製品,259,1パック,,横浜鶏卵・特売
もめんとうふ,卵・豆腐,48,1丁,,マック食品・特売
牛乳,卵・乳製品,,1L,,
ヨーグルト,卵・乳製品,165,1個,2026-02-17,ブルガリアLB81・さわむら
豆腐（絹）,卵・豆腐,,1丁,,
納豆,大豆製品,99,3パック,2026-02-17,極小粒ミニ3・さわむら
にら,野菜,198,,,
キャベツ,野菜,,1玉,,
もやし,野菜,,1袋,,
玉ねぎ,野菜,,1個,,
にんじん,野菜,,1本,,
じゃがいも,野菜,,1個,,
ほうれん草,野菜,,1束,,
バナナ,果物,,1房,,
ブルーベリー,果物,358,1パック,2026-02-17,くだもの屋さん・さわむら
アボカド,果物,158,1個,2026-02-17,さわむら
米（5kg）,主食,,5kg,,
食パン,主食,,1斤,,
パスタ,主食,,1袋,,
醤油,調味料,,1本,,
味噌,調味料,,1個,,
サラダ油,調味料,,1本,,
ツナ缶（ライト）,缶詰,149,1缶,2026-02-17,いなば食塩無添加・さわむら
